platform,type,timestamp,ticker,isin,total_amount,quantity,price_per_share,currency,instrument_currency,fx_rate
Freetrade,BUY,09/07/2024,LLOY.L,GB0008706128,2.33,4,0.58,GBP,GBP,
Freetrade,BUY,04/07/2024,JGGI.L,GB00BYMKY695,11.61,2,5.775,GBP,GBP,
Freetrade,BUY,01/07/2024,ISF.L,IE0005042456,7.98,1,7.98,GBP,GBP,
Freetrade,BUY,01/07/2024,GSPX.L,IE00BD8KRH84,9.22,1,9.22,GBP,GBP,
Freetrade,BUY,11/06/2024,LLOY.L,GB0008706128,3.27,6,0.54166667,GBP,GBP,
Freetrade,BUY,11/06/2024,ISF.L,IE0005042456,8.11,1,8.11,GBP,GBP,
Freetrade,BUY,31/05/2024,GSPX.L,IE00BD8KRH84,8.8,1,8.8,GBP,GBP,
Freetrade,BUY,31/05/2024,NVDA,US67066G1040,16.97,0.01958232,1091.29,GBP,USD,1.25945958
Freetrade,SELL,24/05/2024,BRBY.L,GB0031743007,10.43,1,10.43,GBP,GBP,
Freetrade,BUY,24/05/2024,ISF.L,IE0005042456,8.19,1,8.19,GBP,GBP,
Freetrade,BUY,22/05/2024,ISF.L,IE0005042456,8.25,1,8.25,GBP,GBP,
Freetrade,BUY,20/05/2024,ISF.L,IE0005042456,8.29,1,8.29,GBP,GBP,
Freetrade,SELL,20/05/2024,APH.L,GB0031030819,8.59,24,0.35791667,GBP,GBP,
Freetrade,BUY,26/04/2024,META,US30303M1027,22.97,0.06471673,438.99,GBP,USD,1.23702104
Freetrade,BUY,22/04/2024,GSPX.L,IE00BD8KRH84,16.85,2,8.425,GBP,GBP,
Freetrade,BUY,01/04/2024,META,US30303M1027,28.95,0.07278966,495.4,GBP,USD,1.24510026
Freetrade,BUY,19/03/2024,IIND.L,IE00BZCQB185,13.99,2,6.995,GBP,GBP,
Freetrade,BUY,11/03/2024,NVDA,US67066G1040,19.98,0.02941928,860.66,GBP,USD,1.26743008
Freetrade,BUY,26/01/2024,TSCO.L,GB00BLGZ9862,17.67,6,2.93,GBP,GBP,
Freetrade,BUY,23/01/2024,LLOY.L,GB0008706128,9.61,22,0.43454545,GBP,GBP,
Freetrade,BUY,17/01/2024,BME.L,LU1072616219,10.81,2,5.405,GBP,GBP,
Freetrade,BUY,09/01/2024,DIS,US2546871060,9.98,0.13927143,90.04,GBP,USD,1.25690225
Freetrade,BUY,21/12/2023,AAPL,US0378331005,29.95,0.19358994,194.07,GBP,USD,1.25429827
Freetrade,BUY,14/12/2023,GOOGL,US02079K3059,27.15,0.260656,131.4376,GBP,USD,1.26177353
Freetrade,BUY,22/11/2023,BRBY.L,GB0031743007,15.54,1,15.46,GBP,GBP,
Freetrade,BUY,17/11/2023,ULVR.L,GB00B10RZP78,38.29,1,38.1,GBP,GBP,
Freetrade,BUY,31/10/2023,LLOY.L,GB0008706128,4.82,12,0.4,GBP,GBP,
Freetrade,BUY,30/10/2023,GSPX.L,IE00BD8KRH84,7.01,1,7.01,GBP,GBP,
Freetrade,BUY,27/09/2023,AAPL,US0378331005,10.53,0.07386661,171.39,GBP,USD,1.2020507
Freetrade,BUY,16/08/2023,MRVL,US5738741041,49.92,1.09299495,57.527987,GBP,USD,1.25953592
Freetrade,BUY,27/01/2023,DIS,US2546871060,5.88,0.06583726,110.12,GBP,USD,1.23227968
Freetrade,BUY,13/05/2022,GOOGL,US02079K3059,5.49,0.00287876,2313.5,GBP,USD,1.21229999
Freetrade,BUY,11/05/2022,GSPX.L,IE00BD8KRH84,14.13,2,7.065,GBP,GBP,
Freetrade,BUY,06/04/2022,META,US30303M1027,12.77,0.07439609,223.13,GBP,USD,1.30103886
Freetrade,SELL,01/04/2022,APH.L,GB0031030819,12.01,10,1.201,GBP,GBP,
Freetrade,BUY,12/01/2022,VUAG.L,IE00BFMXXD54,63.42,1,63.42,GBP,GBP,
Freetrade,BUY,12/01/2022,APH.L,GB0031030819,35.82,34,1.05352941,GBP,GBP,
Freetrade,BUY,10/01/2022,GOOGL,US02079K3059,4.99,0.00251781,2672.96,GBP,USD,1.3485043
